source_id,source_type,source_url,date,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence,entity_a,entity_b
312,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525122480/d60311d8k.htm,May-25,CO_OCCURS_WITH,"1.2 Pricing Agreement, dated May 14, 2025, among Pfizer Netherlands International Finance B.V., Pfizer Inc.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,Netherlands International Finance B.V.,PFIZER INC
312,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525122480/d60311d8k.htm,May-25,CO_OCCURS_WITH,"Exhibit Description 1.1 Underwriting Agreement, dated May 14, 2025, among Pfizer Netherlands International Finance B.V., Pfizer Inc.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,Netherlands International Finance B.V.,PFIZER INC
312,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525122480/d60311d8k.htm,May-25,CO_OCCURS_WITH,"and the Issuer, originally filed with the Securities and Exchange Commission (the “Commission”) on February 23, 2024, as amended by the Post-Effective Amendment No.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,Issuer,the Post-Effective Amendment No
314,SEC,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,Nov-25,ACQUIRED,"(“Pfizer” or the “Company”) completed the previously announced acquisition of Metsera, Inc., a Delaware corporation (“Metsera”), pursuant to the Agreement and Plan of Merger, dated as of September 21, 2025, as amended by Amendment No.",acquisition of,source_aware_sentence_trigger_relaxed,2,"Metsera, Inc.",PFIZER INC
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"In connection with the offering of the Notes, the Company entered into an underwriting agreement (the “Underwriting Agreement”) and related pricing agreement (the “Pricing Agreement”), each dated November 18, 2025, with Citigroup Global Markets Inc., Deutsche Bank Securities Inc., J.P.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Citigroup Global Markets Inc.,Deutsche Bank Securities Inc.
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"In connection with the offering of the Notes, the Company entered into an underwriting agreement (the “Underwriting Agreement”) and related pricing agreement (the “Pricing Agreement”), each dated November 18, 2025, with Citigroup Global Markets Inc., Deutsche Bank Securities Inc., J.P.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Citigroup Global Markets Inc.,J.P. Morgan Securities
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"In connection with the offering of the Notes, the Company entered into an underwriting agreement (the “Underwriting Agreement”) and related pricing agreement (the “Pricing Agreement”), each dated November 18, 2025, with Citigroup Global Markets Inc., Deutsche Bank Securities Inc., J.P.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Deutsche Bank Securities Inc.,J.P. Morgan Securities
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"Morgan Securities LLC and Mizuho Securities USA LLC, as representatives of the several underwriters listed on Schedule I to the Pricing Agreement.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,LLC,Mizuho Securities USA LLC
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"The Notes were issued pursuant to an indenture (the “Base Indenture”), dated as of September 7, 2018, between the Company and The Bank of New York Mellon, as trustee (the “Trustee”), as supplemented by the sixth supplemental indenture (the “Sixth Supplemental Indenture” and, the Base Indenture as supplemented by the Sixth Supplemental Indenture, the “Indenture”), dated as of November 21, 2025, between the Company and the Trustee.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,The Bank of New York Mellon,Trustee
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"The Notes were issued pursuant to an indenture (the “Base Indenture”), dated as of September 7, 2018, between the Company and The Bank of New York Mellon, as trustee (the “Trustee”), as supplemented by the sixth supplemental indenture (the “Sixth Supplemental Indenture” and, the Base Indenture as supplemented by the Sixth Supplemental Indenture, the “Indenture”), dated as of November 21, 2025, between the Company and the Trustee.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,The Bank of New York Mellon,the “Sixth Supplemental Indenture
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"The Notes were issued pursuant to an indenture (the “Base Indenture”), dated as of September 7, 2018, between the Company and The Bank of New York Mellon, as trustee (the “Trustee”), as supplemented by the sixth supplemental indenture (the “Sixth Supplemental Indenture” and, the Base Indenture as supplemented by the Sixth Supplemental Indenture, the “Indenture”), dated as of November 21, 2025, between the Company and the Trustee.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Trustee,the “Sixth Supplemental Indenture
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"and Pfizer Netherlands International Finance B.V., originally filed with the Securities and Exchange Commission (the “Commission”) on February 23, 2024, as amended by the Post-Effective Amendment No.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Netherlands International Finance B.V.,PFIZER INC
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"and Pfizer Netherlands International Finance B.V., originally filed with the Securities and Exchange Commission (the “Commission”) on February 23, 2024, as amended by the Post-Effective Amendment No.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,PFIZER INC,the Post-Effective Amendment No
315,SEC,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,Nov-25,CO_OCCURS_WITH,"and Pfizer Netherlands International Finance B.V., originally filed with the Securities and Exchange Commission (the “Commission”) on February 23, 2024, as amended by the Post-Effective Amendment No.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Netherlands International Finance B.V.,the Post-Effective Amendment No
558,PUBMED,https://pubmed.ncbi.nlm.nih.gov/30550791/,Dec-18,CO_OCCURS_WITH,Organoid-based propagation of primary tumor epithelium en bloc with endogenous immune stroma should enable immuno-oncology investigations within the TME and facilitate personalized immunotherapy testing.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,Organoid,TME
560,PUBMED,https://pubmed.ncbi.nlm.nih.gov/33414681/,Dec-20,CO_OCCURS_WITH,"Here we compare two single-cell sequencing platforms: BD Rhapsody and 10x Genomics Chromium, including their different mechanisms and some scRNA-seq results obtained with them.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,10X GENOMICS,BD Rhapsody
571,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39250728/,Sep-24,CO_OCCURS_WITH,"It is compatible with established Python single cell and spatial transcriptomics software, and operates efficiently in a matter of minutes without requiring a GPU.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,GPU,Python
571,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39250728/,Sep-24,CO_OCCURS_WITH,Visium HD by 10X Genomics is the first commercially available platform capable of capturing full scale transcriptomic data paired with a reference morphology image from archived FFPE blocks at sub-cellular resolution.,soft_relation_context,sentence_cooccurrence_fallback_relaxed,2,10X GENOMICS,FFPE
577,SEC,https://www.sec.gov/Archives/edgar/data/1770787/000177078725000040/txg-20250603.htm,Jun-25,CO_OCCURS_WITH,"The final voting results were as follows: Votes For Votes Against Abstentions Broker Non-Votes 215,766,816 312,396 488,346 — Proposal 3 - Non-binding, Advisory Vote to Approve Executive Compensation of Named Executive Officers The Company’s stockholders approved, on a non-binding, advisory basis, the compensation of the Company’s named executive officers as described in more detail in the Company's definitive proxy statement filed with the U.S.",soft_relation_context,sentence_cooccurrence_fallback_relaxed,3,Advisory,Votes For Votes Against Abstentions Broker Non-Votes
