source_id,source_type,source_url,date,entity_a,entity_b,candidate_relation,evidence_text,trigger_phrase,extraction_method,num_entities_in_sentence
101,SEC,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000047/mrna-20260303.htm,Mar-26,Moderna,Spikevax ®,LICENSED_FROM,"In addition, the Settlement Agreement includes a fully paid-up, royalty free, irrevocable, non-exclusive, worldwide license and covenant not to sue granted by Arbutus/Genevant to Moderna under any patents and patent applications owned or licensable by Arbutus/Genevant or their respective direct and indirect wholly owned subsidiaries to make, sell and generally otherwise exploit Moderna’s infectious disease vaccines that include a lipid SM-102-based lipid nanoparticle (“LNP”) formulation, including Spikevax, mNEXSPIKE and mRESVIA, as well as a covenant not to sue with respect to certain other Arbutus/Genevant patents and Moderna products.",royalty,source_aware_sentence_trigger,5
101,SEC,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000047/mrna-20260303.htm,Mar-26,LNP,Spikevax ®,LICENSED_FROM,"In addition, the Settlement Agreement includes a fully paid-up, royalty free, irrevocable, non-exclusive, worldwide license and covenant not to sue granted by Arbutus/Genevant to Moderna under any patents and patent applications owned or licensable by Arbutus/Genevant or their respective direct and indirect wholly owned subsidiaries to make, sell and generally otherwise exploit Moderna’s infectious disease vaccines that include a lipid SM-102-based lipid nanoparticle (“LNP”) formulation, including Spikevax, mNEXSPIKE and mRESVIA, as well as a covenant not to sue with respect to certain other Arbutus/Genevant patents and Moderna products.",royalty,source_aware_sentence_trigger,5
101,SEC,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000047/mrna-20260303.htm,Mar-26,Arbutus/Genevant,Spikevax ®,LICENSED_FROM,"The Settlement Agreement resolves all worldwide Arbutus/Genevant litigation related to Spikevax ® and mRESVIA ® and provides certainty going forward for Moderna’s full infectious disease portfolio, including mNEXSPIKE ® , mCOMBRIAX ® and its future vaccine pipeline, with no future royalties owed.",royalties,source_aware_sentence_trigger,3
101,SEC,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000047/mrna-20260303.htm,Mar-26,Arbutus/Genevant,Moderna,LICENSED_FROM,"The Settlement Agreement resolves all worldwide Arbutus/Genevant litigation related to Spikevax ® and mRESVIA ® and provides certainty going forward for Moderna’s full infectious disease portfolio, including mNEXSPIKE ® , mCOMBRIAX ® and its future vaccine pipeline, with no future royalties owed.",royalties,source_aware_sentence_trigger,3
101,SEC,https://www.sec.gov/Archives/edgar/data/1682852/000168285226000047/mrna-20260303.htm,Mar-26,Spikevax ®,Moderna,LICENSED_FROM,"The Settlement Agreement resolves all worldwide Arbutus/Genevant litigation related to Spikevax ® and mRESVIA ® and provides certainty going forward for Moderna’s full infectious disease portfolio, including mNEXSPIKE ® , mCOMBRIAX ® and its future vaccine pipeline, with no future royalties owed.",royalties,source_aware_sentence_trigger,3
122,PUBMED,https://pubmed.ncbi.nlm.nih.gov/39938094/,Feb-25,Johnson & Johnson,Legend Biotech USA,FUNDED_WITH,"(Funded by Johnson & Johnson and Legend Biotech USA; CARTITUDE-4 ClinicalTrials.gov number, NCT04181827.).",funded by johnson & johnson and legend biotech usa,source_aware_sentence_trigger,2
147,PUBMED,https://pubmed.ncbi.nlm.nih.gov/38246194/,Feb-24,Moderna,Merck,COLLABORATED_WITH,"Moderna in collaboration with Merck Sharp & Dohme, a subsidiary of Merck & Co, Rahway, NJ, USA.",in collaboration with,source_aware_sentence_trigger,2
171,PUBMED,https://pubmed.ncbi.nlm.nih.gov/32786187/,Aug-20,AbbVie,Genentech,FUNDED_WITH,"(Funded by AbbVie and Genentech; VIALE-A ClinicalTrials.gov number, NCT02993523.).",funded by abbvie and genentech,source_aware_sentence_trigger,2
176,PUBMED,https://pubmed.ncbi.nlm.nih.gov/29562156/,Mar-18,Genentech,AbbVie,FUNDED_WITH,"(Funded by Genentech and AbbVie; ClinicalTrials.gov number, NCT02005471 .).",funded by genentech and abbvie,source_aware_sentence_trigger,2
203,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40106374/,Mar-25,AstraZeneca,Amgen,FUNDED_WITH,"(Funded by AstraZeneca and Amgen; WAYPOINT ClinicalTrials.gov number, NCT04851964.).",funded by astrazeneca and amgen,source_aware_sentence_trigger,2
207,PUBMED,https://pubmed.ncbi.nlm.nih.gov/33979488/,May-21,AstraZeneca,Amgen,FUNDED_WITH,"(Funded by AstraZeneca and Amgen; NAVIGATOR ClinicalTrials.gov number, NCT03347279.).",funded by astrazeneca and amgen,source_aware_sentence_trigger,2
212,PUBMED,https://pubmed.ncbi.nlm.nih.gov/34096690/,Jun-21,Amgen,the National Institutes of Health,FUNDED_WITH,"(Funded by Amgen and the National Institutes of Health; CodeBreaK100 ClinicalTrials.gov number, NCT03600883.).",funded by amgen and the national institutes of health,source_aware_sentence_trigger,2
213,PUBMED,https://pubmed.ncbi.nlm.nih.gov/27641143/,Oct-16,Amgen,UCB Pharma,FUNDED_WITH,"(Funded by Amgen and UCB Pharma; FRAME ClinicalTrials.gov number, NCT01575834 .).",funded by amgen and ucb pharma,source_aware_sentence_trigger,2
246,PUBMED,https://pubmed.ncbi.nlm.nih.gov/40202860/,Oct-25,Equitable Access and Partnership by,Gilead Sciences,PARTNERED_WITH,Lenacapavir for HIV Prevention: A Commitment to Equitable Access and Partnership by Gilead Sciences.,partnership,source_aware_sentence_trigger,2
267,PUBMED,https://pubmed.ncbi.nlm.nih.gov/34260836/,Jul-21,Novartis,Incyte,FUNDED_WITH,"(Funded by Novartis and Incyte; REACH3 ClinicalTrials.gov number, NCT03112603.).",funded by novartis and incyte,source_aware_sentence_trigger,2
